Problem Name	Difficulty	Intermediate Max Time	Advanced Max Time	Top of the Crop Max Time	Problem Pattern	Link
Count Univalue Subtrees	Medium	0	0	0	Trees	https://neetcode.io/problems/count-univalue-subtrees/question?list=allNC
Maximum Average Subtree	Medium	0	0	0	Trees	https://neetcode.io/problems/maximum-average-subtree/question?list=allNC
Boundary of Binary Tree	Medium	45	28	15	Trees	https://neetcode.io/problems/boundary-of-binary-tree/question?list=allNC
Find Leaves of Binary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/find-leaves-of-binary-tree/question?list=allNC
Verify Preorder Sequence in Binary Search Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/verify-preorder-sequence-in-binary-search-tree/question?list=allNC
Two Sum BSTs	Medium	0	0	0	Trees	https://neetcode.io/problems/two-sum-bsts/question?list=allNC
Largest BST Subtree	Medium	0	0	0	Trees	https://neetcode.io/problems/largest-bst-subtree/question?list=allNC
Clone N-ary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/clone-n-ary-tree/question?list=allNC
Find Root of N-Ary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/find-root-of-n-ary-tree/question?list=allNC
Diameter of N-Ary Tree	Medium	0	0	0	Trees	https://neetcode.io/problems/diameter-of-n-ary-tree/question?list=allNC
Recover a Tree From Preorder Traversal	Hard	0	0	0	Trees	https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/
Binary Tree Maximum Path Sum	Hard	65	48	35	Trees	https://neetcode.io/problems/binary-tree-maximum-path-sum/question?list=allNC
Serialize And Deserialize Binary Tree	Hard	70	50	38	Trees	https://neetcode.io/problems/serialize-and-deserialize-binary-tree/question?list=allNC
Closest Binary Search Tree Value II	Hard	0	0	0	Trees	https://neetcode.io/problems/closest-binary-search-tree-value-ii/question?list=allNC
Kth Largest Element In a Stream	Easy	30	20	10	Heap / Priority Queue	https://neetcode.io/problems/kth-largest-integer-in-a-stream/question?list=allNC
Last Stone Weight	Easy	30	20	10	Heap / Priority Queue	https://neetcode.io/problems/last-stone-weight/question?list=allNC
Take Gifts From the Richest Pile	Easy	0	0	0	Heap / Priority Queue	https://neetcode.io/problems/take-gifts-from-the-richest-pile/question?list=allNC
Final Array State After K Multiplication Operations I	Easy	0	0	0	Heap / Priority Queue	https://neetcode.io/problems/final-array-state-after-k-multiplication-operations-i/question?list=allNC
High Five	Easy	0	0	0	Heap / Priority Queue	https://neetcode.io/problems/high-five/question?list=allNC
K Closest Points to Origin	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/k-closest-points-to-origin/question?list=allNC
Kth Largest Element In An Array	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/kth-largest-element-in-an-array/question?list=allNC
Task Scheduler	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/task-scheduling/question?list=allNC
Design Twitter	Medium	45	35	20	Heap / Priority Queue	https://neetcode.io/problems/design-twitter-feed/question?list=allNC
Least Number of Unique Integers after K Removal	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/
Furthest Building You Can Reach	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/furthest-building-you-can-reach/
Minimize Deviation in Array	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/minimize-deviation-in-array/
Maximum Subsequence Score	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/maximum-subsequence-score/
Single Threaded CPU	Medium	50	35	26	Heap / Priority Queue	https://neetcode.io/problems/single-threaded-cpu/question?list=allNC
Seat Reservation Manager	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/seat-reservation-manager/
Process Tasks Using Servers	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/process-tasks-using-servers/
Find The Kth Largest Integer In The Array	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/
Reorganize String	Medium	42	30	22	Heap / Priority Queue	https://neetcode.io/problems/reorganize-string/question?list=allNC
Longest Happy String	Medium	45	32	24	Heap / Priority Queue	https://neetcode.io/problems/longest-happy-string/question?list=allNC
Car Pooling	Medium	40	28	20	Heap / Priority Queue	https://neetcode.io/problems/car-pooling/question?list=allNC
Range Sum of Sorted Subarray Sums	Medium	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/
Minimum Cost to Connect Sticks	Medium	20	12	5	Heap / Priority Queue	https://neetcode.io/problems/minimum-cost-to-connect-sticks/question?list=allNC
Campus Bikes	Medium	0	0	0	Heap / Priority Queue	https://neetcode.io/problems/campus-bikes/question?list=allNC
Find Median From Data Stream	Hard	65	48	35	Heap / Priority Queue	https://neetcode.io/problems/find-median-in-a-data-stream/question?list=allNC
Maximum Performance of a Team	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/maximum-performance-of-a-team/
IPO	Hard	80	58	42	Heap / Priority Queue	https://neetcode.io/problems/ipo/question?list=allNC
Minimum Cost to Hire K Workers	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/minimum-cost-to-hire-k-workers/
Number of Flowers in Full Bloom	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/number-of-flowers-in-full-bloom/
Constrained Subsequence Sum	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/constrained-subsequence-sum/
Find Building Where Alice and Bob Can Meet	Hard	0	0	0	Heap / Priority Queue	https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet/
Rearrange String k Distance Apart	Hard	0	0	0	Heap / Priority Queue	https://neetcode.io/problems/rearrange-string-k-distance-apart/question?list=allNC
Sum of All Subsets XOR Total	Easy	20	12	8	Backtracking	https://neetcode.io/problems/sum-of-all-subset-xor-totals/question?list=allNC
Subsets	Medium	45	35	20	Backtracking	https://neetcode.io/problems/subsets/question?list=allNC
Combination Sum	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combination-target-sum/question?list=allNC
Combination Sum II	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combination-target-sum-ii/question?list=allNC
Combinations	Medium	38	26	18	Backtracking	https://neetcode.io/problems/combinations/question?list=allNC
Permutations	Medium	45	35	20	Backtracking	https://neetcode.io/problems/permutations/question?list=allNC
Subsets II	Medium	45	35	20	Backtracking	https://neetcode.io/problems/subsets-ii/question?list=allNC
Permutations II	Medium	45	32	24	Backtracking	https://neetcode.io/problems/permutations-ii/question?list=allNC
Generate Parentheses	Medium	45	35	20	Backtracking	https://neetcode.io/problems/generate-parentheses/question?list=allNC
Letter Tile Possibilities	Medium	0	0	0	Backtracking	https://leetcode.com/problems/letter-tile-possibilities/
Word Search	Medium	55	40	28	Backtracking	https://neetcode.io/problems/search-for-word/question?list=allNC
Palindrome Partitioning	Medium	45	35	20	Backtracking	https://neetcode.io/problems/palindrome-partitioning/question?list=allNC
Restore IP Addresses	Medium	0	0	0	Backtracking	https://neetcode.io/problems/restore-ip-addresses/question?list=allNC
Letter Combinations of a Phone Number	Medium	45	35	20	Backtracking	https://neetcode.io/problems/combinations-of-a-phone-number/question?list=allNC
The k-th Lexicographical String of All Happy Strings of Length n	Medium	0	0	0	Backtracking	https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/
Matchsticks to Square	Medium	50	35	26	Backtracking	https://neetcode.io/problems/matchsticks-to-square/question?list=allNC
Splitting a String Into Descending Consecutive Values	Medium	0	0	0	Backtracking	https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/
Construct Smallest Number From DI String	Medium	0	0	0	Backtracking	https://leetcode.com/problems/construct-smallest-number-from-di-string/
Find Unique Binary String	Medium	0	0	0	Backtracking	https://leetcode.com/problems/find-unique-binary-string/
Split a String Into the Max Number of Unique Substrings	Medium	0	0	0	Backtracking	https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/
Maximum Length of a Concatenated String With Unique Characters	Medium	0	0	0	Backtracking	https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/
Partition to K Equal Sum Subsets	Medium	52	37	28	Backtracking	https://neetcode.io/problems/partition-to-k-equal-sum-subsets/question?list=allNC
The Number of Beautiful Subsets	Medium	0	0	0	Backtracking	https://leetcode.com/problems/the-number-of-beautiful-subsets/
Different Ways to Add Parentheses	Medium	0	0	0	Backtracking	https://leetcode.com/problems/different-ways-to-add-parentheses/
Construct the Lexicographically Largest Valid Sequence	Medium	0	0	0	Backtracking	https://leetcode.com/problems/construct-the-lexicographically-largest-valid-sequence/
